               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11354,            0.018583,                   0,             0.21927,            0.051282,            0.091947,            0.031623,            0.076355,            0.012091,                   0,              0.0757,              0.0027,              0.0027
                   1,              0.0852,            0.026067,                   0,             0.24985,             0.46154,             0.23429,            0.080293,            0.059638,            0.011487,                   0,            0.050427,           0.0054274,           0.0054274
                   2,            0.075604,            0.026734,                   0,            0.058088,             0.48718,            0.060031,            0.017383,            0.068428,           0.0096745,                   0,            0.025081,           0.0080809,           0.0080809
                   3,            0.070338,             0.02623,                   0,             0.32226,             0.41026,             0.33097,             0.14987,            0.061061,            0.010063,                   0,            0.009604,            0.009604,            0.009604
                   4,            0.067228,            0.023954,                   0,             0.63343,             0.66467,             0.57001,             0.19357,            0.051943,           0.0092689,                   0,            0.009604,            0.009604,            0.009604
                   5,            0.059708,             0.02482,                   0,             0.56852,             0.60825,             0.58228,             0.27713,            0.055926,           0.0086362,                   0,            0.009472,            0.009472,            0.009472
                   6,             0.05819,            0.022468,                   0,             0.73032,             0.58974,             0.61186,             0.34525,            0.041909,           0.0088397,                   0,             0.00934,             0.00934,             0.00934
                   7,            0.053737,            0.020228,                   0,             0.68952,             0.53846,             0.63973,             0.24636,            0.047658,           0.0080771,                   0,            0.009208,            0.009208,            0.009208
                   8,            0.049216,            0.020165,                   0,             0.52162,              0.5641,             0.50754,             0.29955,             0.04265,           0.0079179,                   0,            0.009076,            0.009076,            0.009076
                   9,            0.048676,            0.019268,                   0,             0.59166,             0.66879,             0.61378,             0.34102,            0.044278,           0.0077493,                   0,            0.008944,            0.008944,            0.008944
                  10,            0.048052,            0.017938,                   0,             0.58534,             0.69231,             0.62636,             0.41168,            0.041032,           0.0074052,                   0,            0.008812,            0.008812,            0.008812
                  11,            0.044181,            0.018358,                   0,             0.76222,             0.65774,             0.73081,              0.4462,            0.040478,           0.0075264,                   0,             0.00868,             0.00868,             0.00868
                  12,            0.042055,            0.017679,                   0,             0.64285,             0.66667,             0.66512,             0.41957,            0.039206,           0.0074728,                   0,            0.008548,            0.008548,            0.008548
                  13,            0.040765,            0.016604,                   0,             0.61114,              0.8061,             0.67103,             0.41128,            0.032747,           0.0073681,                   0,            0.008416,            0.008416,            0.008416
                  14,            0.037876,            0.017084,                   0,             0.64823,              0.6616,             0.65165,               0.418,            0.032887,           0.0073332,                   0,            0.008284,            0.008284,            0.008284
                  15,            0.039567,            0.015651,                   0,             0.69394,             0.66667,             0.65117,             0.41502,            0.037393,           0.0069964,                   0,            0.008152,            0.008152,            0.008152
                  16,            0.036924,            0.014926,                   0,             0.77034,             0.66667,             0.75348,              0.4034,            0.034229,           0.0075298,                   0,             0.00802,             0.00802,             0.00802
                  17,            0.037338,            0.015314,                   0,             0.74265,             0.69231,             0.76948,             0.46683,            0.033776,           0.0070775,                   0,            0.007888,            0.007888,            0.007888
                  18,            0.036652,            0.015079,                   0,             0.70875,             0.84615,             0.80825,             0.44703,            0.034979,           0.0066414,                   0,            0.007756,            0.007756,            0.007756
                  19,            0.035743,            0.014195,                   0,             0.74734,             0.84615,             0.83881,             0.51223,            0.028681,           0.0067758,                   0,            0.007624,            0.007624,            0.007624
                  20,            0.031655,            0.014302,                   0,             0.78508,             0.84615,             0.79238,             0.51631,             0.03171,            0.006401,                   0,            0.007492,            0.007492,            0.007492
                  21,            0.033564,            0.013541,                   0,             0.80165,             0.84615,             0.82684,             0.54648,            0.029218,           0.0065326,                   0,             0.00736,             0.00736,             0.00736
                  22,            0.031513,            0.014449,                   0,             0.81694,             0.82051,             0.76925,             0.48803,            0.033428,            0.006555,                   0,            0.007228,            0.007228,            0.007228
