               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10071,            0.021547,                   0,            0.016405,             0.92308,             0.13615,            0.031677,             0.06542,            0.011565,                   0,              0.0757,              0.0027,              0.0027
                   1,            0.076784,            0.026815,                   0,             0.49528,             0.40275,             0.35683,             0.14776,            0.061009,            0.010302,                   0,            0.050391,           0.0053911,           0.0053911
                   2,            0.071326,            0.025191,                   0,             0.37584,             0.33333,             0.33327,            0.087366,            0.061714,           0.0098221,                   0,            0.024971,           0.0079713,           0.0079713
                   3,            0.069525,            0.023947,                   0,             0.33016,              0.4359,             0.36446,             0.12847,            0.054007,           0.0085396,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.063017,            0.022864,                   0,             0.67677,             0.51282,             0.64323,             0.30197,            0.044659,           0.0086285,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.059649,            0.023122,                   0,             0.41449,             0.51282,             0.39976,             0.13754,            0.055087,            0.007691,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.053461,            0.021915,                   0,             0.60325,             0.51282,              0.5197,             0.28391,              0.0467,           0.0081319,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.053315,            0.019065,                   0,             0.56235,             0.69231,             0.64077,             0.37903,            0.046909,           0.0083917,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.046923,            0.019133,                   0,             0.83762,             0.69231,              0.6808,             0.32529,            0.043413,           0.0077775,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.046962,            0.017907,                   0,             0.81517,             0.69231,             0.72132,             0.43088,            0.034667,            0.007577,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.044582,            0.017028,                   0,             0.65217,              0.6732,             0.59663,             0.32994,            0.044969,           0.0074221,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.042594,            0.016958,                   0,              0.8343,             0.69231,             0.76943,              0.5437,            0.030375,           0.0071276,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.040479,            0.016347,                   0,             0.79598,             0.66667,              0.7419,             0.52711,            0.039495,           0.0068604,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.038088,            0.015491,                   0,             0.81836,             0.69316,             0.77535,              0.5249,            0.031854,           0.0070156,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.037714,            0.016001,                   0,             0.81199,             0.71795,             0.77729,             0.56154,            0.035745,           0.0067875,                   0,            0.007426,            0.007426,            0.007426
                  15,             0.03726,            0.014581,                   0,             0.82139,             0.71795,             0.80219,             0.48949,            0.033462,           0.0071273,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.034137,            0.013784,                   0,             0.79821,             0.69231,             0.73188,             0.51868,            0.031468,            0.006889,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.033479,            0.013967,                   0,             0.87466,             0.71578,             0.79273,              0.5762,            0.030207,           0.0067263,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.032183,            0.013649,                   0,              0.8696,             0.76923,             0.82801,             0.53697,             0.03284,           0.0062623,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.031782,            0.012797,                   0,             0.91078,              0.7854,              0.8419,             0.59152,            0.028914,           0.0062632,                   0,            0.006436,            0.006436,            0.006436
                  20,              0.0304,            0.012927,                   0,             0.88183,             0.82051,             0.83207,             0.56275,            0.029767,           0.0061702,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.031253,            0.012502,                   0,              0.8881,             0.81415,             0.84976,             0.58047,            0.025939,           0.0064636,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.027509,            0.013584,                   0,             0.77356,             0.79487,             0.83614,             0.63225,            0.027388,           0.0064646,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.029967,            0.012471,                   0,             0.83751,             0.74359,             0.83839,              0.5573,            0.029201,           0.0063638,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.028751,            0.013166,                   0,             0.87257,             0.76923,             0.85466,             0.58332,            0.029318,           0.0065117,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.028016,            0.011602,                   0,             0.86921,             0.79487,             0.85054,             0.60846,            0.027419,           0.0063154,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.026728,            0.012498,                   0,             0.86167,             0.82051,             0.83594,             0.64536,            0.027697,            0.006205,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.028174,            0.013185,                   0,             0.86728,             0.79487,             0.83516,             0.63958,             0.02663,           0.0063091,                   0,            0.004852,            0.004852,            0.004852
                  28,             0.02668,            0.012034,                   0,             0.88705,             0.80567,             0.85762,             0.65112,            0.027401,           0.0062039,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.026166,            0.012618,                   0,              0.9294,             0.82051,             0.86508,             0.64443,            0.025485,           0.0063188,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.024897,            0.012056,                   0,             0.93037,             0.82051,             0.87236,             0.65246,             0.02849,           0.0063451,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.025796,            0.012162,                   0,             0.88924,             0.79487,             0.86712,             0.65382,            0.024649,           0.0064453,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.023276,            0.011495,                   0,             0.79954,             0.82051,              0.8436,             0.64808,            0.024232,           0.0063676,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.023457,            0.010992,                   0,             0.83329,             0.82051,             0.86592,             0.63507,            0.024895,           0.0064098,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.022554,            0.011048,                   0,              0.8082,             0.82051,              0.8499,             0.66041,            0.024024,           0.0065228,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.022854,            0.011444,                   0,             0.79268,             0.82051,             0.84312,               0.653,            0.022926,           0.0066774,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.021977,            0.010674,                   0,             0.78803,             0.79487,             0.84483,             0.66437,            0.024883,           0.0065687,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.022556,            0.010711,                   0,             0.78616,             0.79487,             0.83637,             0.65946,            0.023454,           0.0066235,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.022123,             0.01055,                   0,             0.74882,             0.84097,             0.84564,             0.65041,            0.023207,           0.0066329,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.020431,            0.010263,                   0,             0.81647,             0.79487,             0.85171,             0.66778,              0.0231,            0.006624,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.020552,            0.011149,                   0,             0.81226,             0.79487,             0.83897,             0.67023,            0.022543,           0.0066469,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.020531,            0.010892,                   0,             0.84065,             0.79487,             0.83527,             0.67411,            0.022339,           0.0063626,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.022016,            0.011113,                   0,             0.84453,             0.79487,             0.82908,             0.67107,            0.022061,           0.0061562,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.019977,            0.010492,                   0,             0.83802,             0.79594,             0.83029,             0.67992,            0.021385,           0.0060026,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.019372,             0.01039,                   0,             0.84419,             0.83371,             0.83522,             0.70086,            0.021333,           0.0057404,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.019038,             0.01015,                   0,             0.84898,             0.84615,             0.83742,             0.69873,             0.02158,           0.0056759,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.019657,            0.010291,                   0,              0.8388,             0.84615,              0.8426,             0.71306,            0.021398,           0.0057204,                   0,             0.00109,             0.00109,             0.00109
                  47,             0.01855,            0.010361,                   0,             0.84078,             0.84615,              0.8454,             0.70067,            0.021596,           0.0057367,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.018946,            0.010867,                   0,              0.8426,             0.82366,             0.84242,             0.71494,            0.021255,           0.0057822,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.018863,           0.0099486,                   0,             0.84136,             0.79487,             0.83705,             0.69803,            0.021362,           0.0057753,                   0,            0.000496,            0.000496,            0.000496
