               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10983,            0.021396,                   0,            0.017569,             0.71795,            0.031754,           0.0087903,            0.068326,            0.012832,                   0,              0.0757,              0.0027,              0.0027
                   1,            0.091725,            0.025277,                   0,             0.23392,             0.23077,             0.11247,            0.021514,             0.06322,            0.011612,                   0,            0.050282,           0.0052822,           0.0052822
                   2,            0.080221,            0.027852,                   0,             0.21771,             0.33541,             0.19382,            0.057477,            0.060038,            0.011922,                   0,            0.024643,           0.0076426,           0.0076426
                   3,            0.073431,             0.02744,                   0,             0.38205,             0.23077,             0.24929,            0.084529,            0.070225,            0.014598,                   0,            0.008812,            0.008812,            0.008812
                   4,            0.068985,            0.025683,                   0,             0.19329,             0.58974,             0.21039,            0.081259,            0.061005,            0.012978,                   0,            0.008812,            0.008812,            0.008812
                   5,            0.063944,            0.025374,                   0,              0.2363,             0.43636,             0.22738,            0.055587,            0.057021,            0.010528,                   0,            0.008416,            0.008416,            0.008416
                   6,            0.062701,             0.02375,                   0,             0.35183,             0.51282,             0.42241,             0.13432,            0.055257,           0.0088144,                   0,             0.00802,             0.00802,             0.00802
                   7,            0.057988,            0.021703,                   0,             0.62568,              0.6002,             0.59735,             0.24692,            0.049851,           0.0083959,                   0,            0.007624,            0.007624,            0.007624
                   8,            0.053683,            0.021515,                   0,             0.50906,             0.64103,             0.55023,             0.29705,            0.050746,           0.0081682,                   0,            0.007228,            0.007228,            0.007228
                   9,            0.050866,            0.020877,                   0,             0.69446,             0.69948,             0.68879,             0.34112,            0.041992,           0.0078656,                   0,            0.006832,            0.006832,            0.006832
                  10,             0.05174,            0.019443,                   0,             0.43028,             0.64103,             0.47163,             0.17786,             0.04731,           0.0079403,                   0,            0.006436,            0.006436,            0.006436
                  11,            0.047281,            0.020005,                   0,             0.61712,             0.74392,             0.67787,             0.31715,             0.04095,           0.0079495,                   0,             0.00604,             0.00604,             0.00604
                  12,             0.04463,            0.019214,                   0,              0.5101,             0.69231,             0.55899,             0.28403,            0.041638,           0.0076909,                   0,            0.005644,            0.005644,            0.005644
                  13,            0.042667,            0.018404,                   0,              0.7408,             0.65971,             0.73495,             0.41331,            0.036243,           0.0075742,                   0,            0.005248,            0.005248,            0.005248
                  14,            0.040785,            0.018845,                   0,             0.59961,             0.65294,             0.65923,             0.33115,            0.043125,           0.0073249,                   0,            0.004852,            0.004852,            0.004852
                  15,            0.040546,            0.017452,                   0,             0.69728,             0.64984,             0.67656,             0.41184,            0.034963,           0.0074936,                   0,            0.004456,            0.004456,            0.004456
                  16,            0.037276,            0.016497,                   0,             0.75492,             0.61538,             0.66354,             0.38889,            0.036305,           0.0075359,                   0,             0.00406,             0.00406,             0.00406
                  17,            0.037006,            0.016878,                   0,             0.66029,             0.66667,              0.6492,             0.38499,            0.036143,           0.0074213,                   0,            0.003664,            0.003664,            0.003664
                  18,            0.035372,              0.0165,                   0,              0.6723,             0.64103,             0.70661,             0.42943,            0.038446,           0.0070929,                   0,            0.003268,            0.003268,            0.003268
                  19,            0.034315,            0.015684,                   0,             0.81057,             0.61538,             0.74598,             0.44663,            0.033935,           0.0071689,                   0,            0.002872,            0.002872,            0.002872
                  20,            0.031503,            0.015951,                   0,             0.84683,             0.64103,             0.74781,             0.46425,            0.035292,           0.0069736,                   0,            0.002476,            0.002476,            0.002476
                  21,            0.032415,            0.015193,                   0,              0.7931,             0.64103,             0.72004,             0.46512,            0.033036,            0.007129,                   0,             0.00208,             0.00208,             0.00208
                  22,            0.031319,            0.016436,                   0,             0.70091,             0.64103,             0.69666,             0.46854,             0.03252,           0.0071684,                   0,            0.001684,            0.001684,            0.001684
                  23,            0.031278,            0.015213,                   0,             0.67001,             0.67695,             0.68677,             0.45182,            0.033984,           0.0071708,                   0,            0.001288,            0.001288,            0.001288
                  24,             0.03087,            0.016301,                   0,             0.71124,             0.66667,              0.7116,             0.46658,             0.03281,           0.0071049,                   0,            0.000892,            0.000892,            0.000892
