               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11356,            0.018576,                   0,             0.20468,            0.051282,            0.085435,            0.030983,             0.07645,            0.012085,                   0,              0.0757,              0.0027,              0.0027
                   1,            0.085089,            0.026178,                   0,             0.27874,             0.33333,             0.25904,            0.087813,            0.058192,              0.0116,                   0,            0.050391,           0.0053911,           0.0053911
                   2,            0.075804,            0.026533,                   0,             0.33026,             0.48718,             0.25915,             0.09249,            0.056677,            0.011076,                   0,            0.024971,           0.0079713,           0.0079713
                   3,            0.071279,            0.025978,                   0,             0.25522,             0.48718,             0.29177,             0.07897,            0.060506,           0.0098035,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.066585,            0.024676,                   0,             0.26779,             0.51282,             0.29574,             0.11055,            0.054158,           0.0089216,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.059711,            0.025345,                   0,             0.63322,             0.57565,             0.62333,             0.24553,            0.044253,           0.0091726,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.054101,            0.023459,                   0,             0.64464,             0.58974,             0.60607,             0.25671,            0.045398,           0.0085617,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.056349,            0.020015,                   0,             0.59073,              0.5641,             0.50638,             0.24985,            0.052213,           0.0079669,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.049787,            0.020208,                   0,             0.73375,             0.58974,             0.67159,             0.38055,            0.041038,           0.0078336,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.047096,             0.01958,                   0,             0.73788,             0.64979,             0.73009,             0.42691,            0.033881,           0.0085869,                   0,            0.008416,            0.008416,            0.008416
                  10,             0.04401,             0.01795,                   0,             0.77343,             0.58974,              0.6917,             0.38622,            0.040292,           0.0077423,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.043655,            0.018208,                   0,             0.70135,             0.69231,             0.73242,             0.39458,            0.037494,           0.0083159,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.041213,            0.017697,                   0,             0.72246,             0.66667,             0.69981,             0.42068,             0.03712,           0.0080068,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.040072,            0.016662,                   0,             0.68444,             0.69231,             0.65492,             0.36889,            0.043572,           0.0077215,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.038675,            0.016965,                   0,             0.73048,             0.69503,             0.69374,             0.43279,            0.038925,           0.0076032,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.038869,            0.015726,                   0,             0.73152,             0.71795,             0.72825,             0.45871,             0.03461,           0.0078935,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.033951,            0.014925,                   0,             0.72516,             0.69231,             0.75805,             0.50949,            0.034055,           0.0076411,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.036006,            0.015099,                   0,             0.72286,             0.73581,             0.77266,             0.49036,             0.03691,           0.0071303,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.035085,            0.014748,                   0,             0.74776,             0.76028,             0.78164,             0.50739,            0.034972,           0.0070003,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.034555,            0.014013,                   0,             0.78315,             0.79487,             0.79822,              0.5009,            0.031741,           0.0073749,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.029704,              0.0141,                   0,             0.73617,             0.74359,             0.75698,             0.49633,            0.031783,           0.0073109,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.032982,            0.013399,                   0,             0.78882,             0.67054,             0.74891,              0.5109,            0.032902,           0.0077262,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.030806,            0.014591,                   0,             0.66915,             0.69231,             0.71287,             0.42633,            0.038328,           0.0075959,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.031736,             0.01349,                   0,             0.72181,             0.74359,             0.69216,             0.46872,            0.033547,           0.0072874,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.031548,            0.014336,                   0,             0.67604,             0.74359,             0.65829,             0.41089,            0.034755,           0.0071776,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.029841,            0.012714,                   0,             0.68713,             0.74359,             0.66048,              0.4212,            0.035224,            0.007458,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.029154,            0.013805,                   0,             0.68597,             0.79487,             0.65054,              0.4665,            0.032968,           0.0068243,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.029976,            0.014328,                   0,             0.68492,             0.78048,             0.64404,             0.45751,            0.030293,            0.007098,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.028715,            0.013307,                   0,             0.69991,             0.79487,             0.67339,             0.49981,            0.030471,           0.0066889,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.028195,            0.013821,                   0,              0.7035,             0.79487,             0.71872,             0.53355,            0.029736,           0.0069996,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.027014,            0.013334,                   0,              0.7558,             0.79487,             0.69214,             0.48709,            0.031403,           0.0068151,                   0,            0.004258,            0.004258,            0.004258
                  31,             0.02805,            0.013076,                   0,             0.73328,             0.79487,             0.69595,             0.50108,             0.02974,           0.0069009,                   0,             0.00406,             0.00406,             0.00406
                  32,             0.02581,            0.012637,                   0,             0.75471,             0.79487,             0.72446,             0.52371,            0.029361,           0.0068056,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.025317,            0.011971,                   0,             0.75545,             0.79216,             0.74247,             0.54995,            0.030168,           0.0066782,                   0,            0.003664,            0.003664,            0.003664
