               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1098,            0.021388,                   0,            0.020473,             0.15385,             0.01236,            0.003217,            0.068137,            0.012851,                   0,              0.0757,              0.0027,              0.0027
                   1,             0.09206,             0.02521,                   0,             0.20682,             0.25641,             0.18284,            0.045914,             0.05911,             0.01194,                   0,            0.049955,           0.0049555,           0.0049555
                   2,            0.081065,            0.027835,                   0,             0.30799,             0.25641,             0.18809,             0.05471,            0.061097,            0.011327,                   0,            0.023657,           0.0066566,           0.0066566
                   3,            0.072879,            0.028063,                   0,             0.35909,             0.25641,             0.26201,            0.058127,            0.062618,            0.013607,                   0,             0.00703,             0.00703,             0.00703
                   4,            0.069418,            0.026159,                   0,             0.30013,             0.51282,             0.28809,            0.078776,            0.054766,            0.012946,                   0,             0.00703,             0.00703,             0.00703
                   5,            0.063124,            0.026381,                   0,             0.45371,              0.5751,             0.41807,             0.16202,            0.051052,           0.0099696,                   0,             0.00604,             0.00604,             0.00604
                   6,            0.058173,            0.025365,                   0,             0.40582,             0.58974,             0.36514,             0.11309,            0.052075,           0.0090175,                   0,             0.00505,             0.00505,             0.00505
                   7,            0.054996,            0.022941,                   0,             0.64756,             0.51282,             0.45415,             0.19769,             0.04659,            0.008789,                   0,             0.00406,             0.00406,             0.00406
                   8,            0.049467,            0.023105,                   0,             0.76778,             0.64103,             0.61858,             0.24989,            0.045715,           0.0083056,                   0,             0.00307,             0.00307,             0.00307
                   9,            0.046849,            0.022452,                   0,             0.67769,             0.61538,             0.62529,             0.27505,            0.041707,           0.0082242,                   0,             0.00208,             0.00208,             0.00208
